Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
FCONSUMER.NS,-4.71,-0.39,28.38
FCSSOFT.NS,-24.58,-2.05,25.44
FDC.NS,18.18,1.51,15.39
FEDERALBNK.NS,16.68,1.39,12.98
FEDFINA.NS,-27.64,-2.3,14.43
FEL.NS,-40.94,-3.41,22.86
FELDVR.NS,17.17,1.43,26.64
FIBERWEB.NS,61.99,5.16,34.0
FIEMIND.NS,34.74,2.9,18.45
FILATEX.NS,21.9,1.83,25.38
FINCABLES.NS,8.34,0.69,21.12
FINEORG.NS,-5.71,-0.48,13.72
FINOPB.NS,17.73,1.48,26.12
FINPIPE.NS,10.44,0.87,18.67
FIRSTCRY.NS,2.25,0.56,18.96
FIVESTAR.NS,-1.85,-0.15,18.44
FLAIR.NS,-13.5,-1.12,16.98
FLEXITUFF.NS,61.79,5.15,38.83
FLFL.NS,-20.59,-1.71,25.03
FLUOROCHEM.NS,11.76,0.98,22.63
FMGOETZE.NS,8.35,0.7,15.44
FMNL.NS,162.52,13.54,42.85
FOCUS.NS,-34.08,-2.84,28.28
FOODSIN.NS,-27.95,-2.33,19.52
FORCEMOT.NS,98.27,8.93,32.76
FORTIS.NS,40.5,3.37,15.15
FOSECOIND.NS,10.96,0.91,19.13
FRETAIL.NS,-35.19,-4.4,25.9
FSC.NS,-175.42,-14.62,39.15
FSL.NS,65.99,5.5,20.45
FUSION.NS,-119.12,-9.93,26.98
GABRIEL.NS,22.2,1.85,22.63
GAEL.NS,-43.35,-3.61,20.68
GAIL.NS,10.13,0.84,17.83
GALAPREC.NS,43.9,14.63,44.81
GALAXYSURF.NS,-3.22,-0.27,14.75
GALLANTT.NS,65.16,5.43,28.45
GANDHAR.NS,-28.18,-2.35,17.46
GANDHITUBE.NS,6.49,0.54,18.92
GANECOS.NS,76.99,6.42,23.74
