Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
FEDERALBNK.NS,16.46,1.37,12.98
FEDFINA.NS,-27.55,-2.3,14.43
FEL.NS,-40.94,-3.41,22.86
FELDVR.NS,17.17,1.43,26.64
FIBERWEB.NS,60.98,5.08,34.0
FIEMIND.NS,35.02,2.92,18.45
FILATEX.NS,21.79,1.82,25.38
FINCABLES.NS,7.65,0.64,21.12
FINEORG.NS,-6.12,-0.51,13.72
FINOPB.NS,17.81,1.48,26.12
FINPIPE.NS,10.96,0.91,18.67
FIRSTCRY.NS,-0.05,-0.01,18.96
FIVESTAR.NS,-3.42,-0.28,18.44
FLAIR.NS,-13.66,-1.14,16.98
FLEXITUFF.NS,61.84,5.15,38.83
FLFL.NS,-18.87,-1.57,25.03
FLUOROCHEM.NS,11.61,0.97,22.63
FMGOETZE.NS,8.5,0.71,15.44
FMNL.NS,162.52,13.54,42.85
FOCUS.NS,-34.7,-2.89,28.28
FOODSIN.NS,-28.19,-2.35,19.52
FORCEMOT.NS,98.16,8.92,32.76
FORTIS.NS,40.06,3.34,15.15
FOSECOIND.NS,10.72,0.89,19.13
FRETAIL.NS,-35.19,-2.93,17.27
FSC.NS,-170.66,-14.22,39.15
FSL.NS,65.84,5.48,20.45
FUSION.NS,-119.27,-9.94,26.98
GABRIEL.NS,22.4,1.87,22.63
GAEL.NS,-42.93,-3.58,20.68
GAIL.NS,10.37,0.86,17.83
GALAPREC.NS,45.14,15.04,44.81
GALAXYSURF.NS,-2.89,-0.24,14.75
GALLANTT.NS,66.6,5.55,28.45
GANDHAR.NS,-28.33,-2.36,17.46
GANDHITUBE.NS,6.15,0.51,18.92
