Date,Close,High,Low,Open,Volume,Month_Change,Month_Volatile,Yearly_Change,Symbol
,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,,,,
2024-07-01,19.28,24.5,18.87,20.62,379560,-6.5,29.84,12.73,ARSSINFRA.NS
2024-08-01,19.11,20.48,17.25,19.5,455127,-2.0,18.72,10.73,ARSSINFRA.NS
2024-09-01,21.69,22.7,18.01,18.5,249008,17.24,26.04,27.97,ARSSINFRA.NS
2024-10-01,17.97,22.5,16.0,22.5,216256,-20.13,40.62,7.84,ARSSINFRA.NS
2024-11-01,18.91,20.25,17.54,17.97,146517,5.23,15.45,13.07,ARSSINFRA.NS
2024-12-01,20.4,20.4,17.2,18.91,326110,7.88,18.6,20.95,ARSSINFRA.NS
2024-01-01,184.65,193.23,169.63,178.61,4016503,3.38,13.91,3.38,ARTEMISMED.NS
2024-02-01,169.68,189.44,155.62,182.55,3469269,-7.05,21.73,-3.67,ARTEMISMED.NS
2024-03-01,169.43,177.56,140.95,171.13,3403240,-0.99,25.97,-4.66,ARTEMISMED.NS
2024-04-01,181.95,196.47,167.94,171.98,2598727,5.8,16.99,1.14,ARTEMISMED.NS
2024-05-01,174.07,199.41,168.39,182.55,3839663,-4.65,18.42,-3.51,ARTEMISMED.NS
2024-06-01,176.99,187.78,142.7,179.36,2850858,-1.32,31.59,-4.83,ARTEMISMED.NS
2024-07-01,263.11,265.78,175.27,175.27,12484230,50.12,51.64,45.29,ARTEMISMED.NS
2024-08-01,286.05,289.4,234.4,263.8,5681031,8.43,23.46,53.72,ARTEMISMED.NS
2024-09-01,284.4,304.7,266.0,287.2,4891213,-0.97,14.55,52.75,ARTEMISMED.NS
2024-10-01,280.3,296.7,249.45,285.9,3068168,-1.96,18.94,50.79,ARTEMISMED.NS
2024-11-01,328.8,343.7,265.75,281.0,8928328,17.01,29.33,67.8,ARTEMISMED.NS
2024-12-01,322.8,350.0,318.0,326.0,3139135,-0.98,10.06,66.82,ARTEMISMED.NS
2024-01-01,76.5,88.6,53.55,53.55,449158,42.86,65.45,42.86,ARTNIRMAN.NS
2024-02-01,73.15,79.0,68.0,76.5,74757,-4.38,16.18,38.48,ARTNIRMAN.NS
2024-03-01,49.8,73.0,49.8,73.0,64910,-31.78,46.59,6.7,ARTNIRMAN.NS
2024-04-01,64.9,67.0,48.2,48.2,56130,34.65,39.0,41.34,ARTNIRMAN.NS
2024-05-01,52.4,65.0,50.3,64.9,101808,-19.26,29.22,22.08,ARTNIRMAN.NS
2024-06-01,63.7,69.71,52.0,52.95,277699,20.3,34.06,42.39,ARTNIRMAN.NS
2024-07-01,66.05,73.99,58.21,69.8,758584,-5.37,27.11,37.01,ARTNIRMAN.NS
2024-08-01,68.7,97.7,61.11,66.28,884120,3.65,59.88,40.66,ARTNIRMAN.NS
2024-09-01,63.48,69.4,60.12,68.0,76557,-6.65,15.44,34.02,ARTNIRMAN.NS
2024-10-01,61.0,63.9,55.31,62.01,31791,-1.63,15.53,32.39,ARTNIRMAN.NS
2024-11-01,58.9,63.3,54.41,61.0,82256,-3.44,16.34,28.95,ARTNIRMAN.NS
2024-12-01,59.76,89.8,56.0,57.26,1063403,4.37,60.36,33.31,ARTNIRMAN.NS
2024-01-01,162.0,178.0,149.0,172.95,28856,-6.33,19.46,-6.33,ARVEE.NS
2024-02-01,139.0,164.1,133.0,162.0,24346,-14.2,23.38,-20.53,ARVEE.NS
2024-03-01,143.4,151.8,117.05,139.0,36203,3.17,29.69,-17.36,ARVEE.NS
2024-04-01,224.35,315.0,137.6,149.0,538944,50.57,128.92,33.21,ARVEE.NS
2024-05-01,193.05,223.15,180.05,223.15,53011,-13.49,23.94,19.72,ARVEE.NS
2024-06-01,192.2,202.0,173.0,193.05,19260,-0.44,16.76,19.28,ARVEE.NS
2024-07-01,186.31,196.04,170.02,196.04,13284,-4.96,15.3,14.31,ARVEE.NS
2024-08-01,182.37,198.95,170.01,187.0,47522,-2.48,17.02,11.84,ARVEE.NS
2024-09-01,183.95,190.0,171.04,182.95,18349,0.55,11.09,12.39,ARVEE.NS
2024-10-01,177.15,235.79,153.81,183.0,266967,-3.2,53.3,9.19,ARVEE.NS
2024-11-01,161.01,184.99,149.9,177.2,33235,-9.14,23.41,0.05,ARVEE.NS
2024-12-01,178.0,232.99,155.72,162.0,85994,9.88,49.62,9.93,ARVEE.NS
2024-01-01,314.17,318.16,244.36,263.21,21209220,19.36,30.2,19.36,ARVIND.NS
2024-02-01,279.26,316.17,266.2,315.17,12332509,-11.39,18.77,7.97,ARVIND.NS
2024-03-01,269.74,287.49,238.87,280.71,14705096,-3.91,20.35,4.06,ARVIND.NS
2024-04-01,314.22,336.61,269.59,270.69,9053369,16.08,24.86,20.14,ARVIND.NS
2024-05-01,376.36,388.98,295.92,314.22,19486274,19.78,31.45,39.92,ARVIND.NS
2024-06-01,369.08,392.57,325.84,389.32,20149813,-5.2,20.48,34.72,ARVIND.NS
2024-07-01,376.41,402.59,359.05,370.97,15789190,1.47,12.13,36.18,ARVIND.NS
2024-08-01,402.4,421.3,350.0,380.0,22684437,5.89,20.37,42.08,ARVIND.NS
2024-09-01,370.85,416.0,369.1,404.0,8066289,-8.21,12.71,33.87,ARVIND.NS
2024-10-01,371.7,376.9,308.35,368.25,12625025,0.94,22.23,34.81,ARVIND.NS
2024-11-01,378.7,386.2,332.5,378.0,6517580,0.19,16.15,35.0,ARVIND.NS
2024-12-01,414.95,450.0,368.55,374.95,16347773,10.67,22.1,45.66,ARVIND.NS
2024-01-01,520.55,524.54,400.01,409.74,11596184,27.04,31.13,27.04,ARVINDFASN.NS
2024-02-01,456.32,532.62,421.71,528.63,7980126,-13.68,26.3,13.37,ARVINDFASN.NS
2024-03-01,451.98,472.52,414.77,454.82,3465083,-0.62,13.92,12.74,ARVINDFASN.NS
2024-04-01,478.76,488.63,414.62,454.27,5134898,5.39,17.85,18.13,ARVINDFASN.NS
2024-05-01,438.21,498.41,421.66,478.76,5493600,-8.47,18.2,9.66,ARVINDFASN.NS
2024-06-01,514.17,558.35,383.6,458.81,15774818,12.07,45.56,21.73,ARVINDFASN.NS
2024-07-01,510.48,539.9,453.72,518.65,14281933,-1.58,18.99,20.15,ARVINDFASN.NS
2024-08-01,530.97,546.58,455.87,515.16,18629903,3.07,19.9,23.22,ARVINDFASN.NS
2024-09-01,592.65,622.9,531.5,542.85,23420590,9.17,17.2,32.4,ARVINDFASN.NS
2024-10-01,566.1,639.7,539.2,589.9,13502397,-4.03,18.64,28.36,ARVINDFASN.NS
2024-11-01,569.0,599.5,545.15,569.45,5721544,-0.08,9.97,28.28,ARVINDFASN.NS
2024-12-01,526.0,582.0,505.2,572.9,10196662,-8.19,15.2,20.1,ARVINDFASN.NS
2024-01-01,533.55,538.13,423.53,430.4,2088968,23.97,27.06,23.97,ARVSMART.NS
2024-02-01,614.81,687.51,511.22,542.12,3458820,13.41,34.48,37.37,ARVSMART.NS
2024-03-01,695.38,725.43,516.26,614.81,3274062,13.1,40.52,50.48,ARVSMART.NS
2024-04-01,736.74,761.35,628.81,705.8,2459721,4.38,21.08,54.86,ARVSMART.NS
2024-05-01,633.7,753.83,618.85,736.74,2691596,-13.99,21.81,40.88,ARVSMART.NS
2024-06-01,700.17,757.07,521.74,664.59,2079354,5.35,45.1,46.23,ARVSMART.NS
2024-07-01,755.87,823.14,648.94,693.74,2970325,8.96,26.84,55.19,ARVSMART.NS
2024-08-01,742.6,794.65,678.8,759.0,918948,-2.16,17.07,53.03,ARVSMART.NS
2024-09-01,826.45,902.0,687.0,753.75,4126057,9.65,31.3,62.67,ARVSMART.NS
2024-10-01,934.8,947.65,750.0,824.45,2976938,13.38,26.35,76.06,ARVSMART.NS
2024-11-01,997.75,1025.0,851.55,960.0,1701240,3.93,20.37,79.99,ARVSMART.NS
2024-12-01,902.9,1021.8,898.15,997.95,589998,-9.52,13.77,70.46,ARVSMART.NS
2024-01-01,523.35,635.5,519.61,577.18,7509764,-9.33,22.3,-9.33,ASAHIINDIA.NS
2024-02-01,533.77,558.24,508.44,528.53,2931145,0.99,9.79,-8.33,ASAHIINDIA.NS
2024-03-01,534.71,541.74,500.02,539.4,2297994,-0.87,8.34,-9.2,ASAHIINDIA.NS
2024-04-01,599.81,616.81,536.41,538.35,6266178,11.42,14.99,2.21,ASAHIINDIA.NS
2024-05-01,586.3,657.98,574.14,599.81,5193273,-2.25,14.6,-0.04,ASAHIINDIA.NS
2024-06-01,668.95,719.8,538.35,596.17,6230216,12.21,33.7,12.17,ASAHIINDIA.NS
2024-07-01,664.37,704.29,606.14,675.93,5330037,-1.71,16.19,10.46,ASAHIINDIA.NS
2024-08-01,632.36,675.93,604.45,659.98,1579080,-4.18,11.83,6.27,ASAHIINDIA.NS
2024-09-01,789.45,833.95,625.3,635.0,14885501,24.32,33.37,30.6,ASAHIINDIA.NS
2024-10-01,750.3,808.8,657.65,795.0,4392661,-5.62,22.98,24.97,ASAHIINDIA.NS
2024-11-01,684.6,763.8,636.4,756.4,1607837,-9.49,20.02,15.48,ASAHIINDIA.NS
2024-12-01,755.0,803.9,675.55,684.25,3406703,10.34,19.0,25.82,ASAHIINDIA.NS
2024-01-01,325.37,334.66,297.1,308.14,599262,5.59,12.64,5.59,ASAHISONG.NS
2024-02-01,324.37,347.65,299.7,325.57,638470,-0.37,16.0,5.22,ASAHISONG.NS
2024-03-01,324.22,348.95,298.75,323.72,349418,0.15,16.8,5.38,ASAHISONG.NS
2024-04-01,369.32,401.59,306.79,324.67,1138337,13.75,30.9,19.13,ASAHISONG.NS
